c0S/m	depSM	flag	lat	lon	name	potemp090C	pr	sal00	sigma-t00	t090	timeJ	Season	zona
5.1186	4.592	0.0	-28.478801	-48.791544	st7	25.7594	4.623	33.0469	21.6345	25.7604	25.61544	verao	Canal
5.11145	4.728	0.0	-28.478801	-48.791544	st7	25.7573	4.76	32.9966	21.5972	25.7583	25.615521	verao	Canal
5.11884	4.453	0.0	-28.478801	-48.791544	st7	25.7486	4.483	33.0565	21.645	25.7496	25.615602	verao	Canal
5.12209	4.178	0.0	-28.478801	-48.791544	st7	25.7399	4.206	33.0865	21.6704	25.7408	25.615683	verao	Canal
5.12665	3.099	0.0	-28.478801	-48.791544	st7	25.7417	3.12	33.1188	21.6942	25.7424	25.615764	verao	Canal
4.00279	1.831	0.0	-28.478801	-48.791544	st7	27.5533	1.843	24.1681	14.412	27.5537	25.615845	verao	Canal
2.23312	0.821	0.0	-28.478801	-48.791544	st7	28.064	0.827	12.5856	5.6102	28.0642	25.615926	verao	Canal
1.03317	-0.011	0.0	-28.478801	-48.791544	st7	28.1942	-0.011	5.4456	0.252	28.1942	25.616007	verao	Canal
1.55542	-0.035	0.0	-28.482446999999997	-48.794307	st8	28.2842	-0.035	8.4546	2.4675	28.2842	25.618924	verao	Meio
1.6581	0.043	0.0	-28.482446999999997	-48.794307	st8	28.3538	0.043	9.0483	2.8889	28.3538	25.619005	verao	Meio
1.81835	0.057	0.0	-28.482446999999997	-48.794307	st8	28.3566	0.057	10.0011	3.5975	28.3566	25.619086	verao	Meio
1.868	0.345	0.0	-28.482446999999997	-48.794307	st8	28.3755	0.347	10.2942	3.8101	28.3756	25.619167	verao	Meio
2.68318	0.639	0.0	-28.482446999999997	-48.794307	st8	28.3458	0.643	15.2943	7.5429	28.3459	25.619248	verao	Meio
2.96311	1.117	0.0	-28.482446999999997	-48.794307	st8	28.247	1.125	17.0891	8.9108	28.2473	25.619329	verao	Meio
3.15813	1.443	0.0	-28.482446999999997	-48.794307	st8	28.018	1.453	18.4182	9.9724	28.0183	25.61941	verao	Meio
4.00194	2.225	0.0	-28.482446999999997	-48.794307	st8	26.7525	2.24	24.5783	14.9654	26.753	25.619491	verao	Meio
4.10283	3.028	0.0	-28.482446999999997	-48.794307	st8	26.666	3.048	25.3139	15.5432	26.6667	25.619572	verao	Meio
4.46472	3.815	0.0	-28.482446999999997	-48.794307	st8	26.4966	3.841	27.912	17.5445	26.4974	25.619653	verao	Meio
4.70013	4.524	0.0	-28.482446999999997	-48.794307	st8	26.2833	4.555	29.6959	18.9504	26.2843	25.619734	verao	Meio
4.79334	5.462	0.0	-28.482446999999997	-48.794307	st8	26.1355	5.499	30.4521	19.5646	26.1367	25.619815	verao	Meio
4.86578	5.384	0.0	-28.482446999999997	-48.794307	st8	26.0384	5.42	31.033	20.0315	26.0396	25.619896	verao	Meio
4.80362	4.192	0.0	-28.482446999999997	-48.794307	st8	26.2037	4.22	30.4806	19.5651	26.2046	25.619977	verao	Meio
4.58083	3.453	0.0	-28.482446999999997	-48.794307	st8	26.5697	3.476	28.6778	18.0972	26.5705	25.620058	verao	Meio
4.45583	2.295	0.0	-28.482446999999997	-48.794307	st8	26.7193	2.31	27.7174	17.33	26.7198	25.620139	verao	Meio
4.25265	1.473	0.0	-28.482446999999997	-48.794307	st8	27.2986	1.483	25.99	15.8554	27.2989	25.62022	verao	Meio
3.5531	0.464	0.0	-28.482446999999997	-48.794307	st8	27.8743	0.467	21.038	11.9725	27.8744	25.620301	verao	Meio
0.4517	-0.095	0.0	-28.491002	-48.806651	st9	28.0078	-0.096	2.2571	-2.0744	28.0078	25.622975	verao	Meio
1.18689	0.066	0.0	-28.491002	-48.806651	st9	28.0221	0.066	6.346	0.9736	28.0221	25.623056	verao	Meio
1.26461	0.144	0.0	-28.491002	-48.806651	st9	28.027	0.145	6.7949	1.3068	28.027	25.623137	verao	Meio
1.27656	0.168	0.0	-28.491002	-48.806651	st9	28.0298	0.169	6.8638	1.3574	28.0298	25.623218	verao	Meio
1.39951	0.603	0.0	-28.491002	-48.806651	st9	28.0449	0.607	7.5786	1.8856	28.045	25.623299	verao	Meio
1.52237	0.18	0.0	-28.491002	-48.806651	st9	28.0353	0.181	8.303	2.4282	28.0353	25.62338	verao	Meio
1.72928	0.504	0.0	-28.491002	-48.806651	st9	28.0519	0.507	9.5303	3.3377	28.052	25.623461	verao	Meio
0.29908	-0.133	0.0	-28.491002	-48.806651	st9	27.9081	-0.134	1.4614	-2.6414	27.9081	25.623542	verao	Meio
1.83099	-0.015	0.0	-28.462787	-48.804977	st10	27.8777	-0.015	10.1778	3.8718	27.8777	25.628484	verao	Meio
1.86358	0.001	0.0	-28.462787	-48.804977	st10	28.2389	0.001	10.297	3.8531	28.2389	25.628565	verao	Meio
1.91756	0.007	0.0	-28.462787	-48.804977	st10	28.244	0.007	10.6207	4.0927	28.244	25.628646	verao	Meio
1.97287	-0.063	0.0	-28.462787	-48.804977	st10	28.2234	-0.063	10.9592	4.3509	28.2234	25.628727	verao	Meio
1.91279	0.028	0.0	-28.462787	-48.804977	st10	28.226	0.028	10.5959	4.0796	28.226	25.628808	verao	Meio
1.87057	-0.079	0.0	-28.462787	-48.804977	st10	28.2289	-0.08	10.3412	3.889	28.2289	25.628889	verao	Meio
2.03671	0.408	0.0	-28.462787	-48.804977	st10	28.2512	0.411	11.3393	4.6256	28.2513	25.62897	verao	Meio
1.74578	-0.095	0.0	-28.462787	-48.804977	st10	28.2276	-0.096	9.5939	3.3329	28.2276	25.629051	verao	Meio
1.74991	0.294	0.0	-28.462787	-48.804977	st10	28.2198	0.296	9.6201	3.3547	28.2199	25.629132	verao	Meio
2.00096	0.039	0.0	-28.462787	-48.804977	st10	28.2368	0.039	11.1261	4.4712	28.2368	25.629213	verao	Meio
1.52903	-0.069	0.0	-28.469858000000002	-48.810978000000006	st11	26.733	-0.069	8.5742	3.0074	26.733	25.656181	verao	Canal
1.77049	-0.06	0.0	-28.469858000000002	-48.810978000000006	st11	27.9691	-0.06	9.7942	3.5589	27.9691	25.656262	verao	Canal
1.72734	-0.069	0.0	-28.469858000000002	-48.810978000000006	st11	27.9622	-0.069	9.5366	3.369	27.9622	25.656343	verao	Canal
